Country,Continent,Year,Import (US$ Billion)
Barbados,North America,2001,0.34265197
Brunei,Asia,2001,3.59769246
Bhutan,Asia,2001,0.02933279
Botswana,Africa,2001,1.82555769
Central African Republic,Africa,2001,0.17454967
Canada,North America,2001,269.8414906
Switzerland,Europe,2001,93.62795975
Chile,South America,2001,18.56586063
China,Asia,2001,421.2483823
Ivory Coast,Africa,2001,3.85063285
Cameroon,Africa,2001,2.22103904
Republic of the Congo,Africa,2001,2.42548607
Colombia,South America,2001,13.28934427
Comoros,Africa,2001,0.04118992
Cape Verde,Africa,2001,0.01540739
Costa Rica,North America,2001,6.22893606
Cuba,North America,2001,1.48103267
Cyprus,Europe,2001,0.97480133
Czechia,Europe,2001,32.57199107
Germany,Europe,2001,542.6887328
Djibouti,Africa,2001,0.02518433
Dominica,North America,2001,0.08278614
Denmark,Europe,2001,44.94232402
Dominican Rep.,North America,2001,4.77203517
Algeria,Africa,2001,17.42479235
Ecuador,South America,2001,5.96276181
Egypt,Africa,2001,5.65798069
Eritrea,Africa,2001,0.01202526
Spain,Europe,2001,108.5772783
Estonia,Europe,2001,4.23293545
Ethiopia,Africa,2001,0.39844693
Finland,Europe,2001,43.38274842
Fiji,Oceania,2001,0.52701452
France,Europe,2001,297.4911408
Micronesia,Oceania,2001,0.10022778
Gabon,Africa,2001,2.97804088
United Kingdom,Europe,2001,268.6138932
Georgia,Europe,2001,0.61175789
Ghana,Africa,2001,2.02857886
Guinea,Africa,2001,1.02036944
Gambia,Africa,2001,0.03083524
Guinea-Bissau,Africa,2001,0.0860263
Equatorial Guinea,Africa,2001,1.83372682
Greece,Europe,2001,10.36839115
Grenada,North America,2001,0.06329436
Guatemala,North America,2001,4.69691395
Guyana,South America,2001,0.58996269
Honduras,North America,2001,4.05979556
Croatia,Europe,2001,3.37586538
Haiti,North America,2001,0.30129905
Hungary,Europe,2001,31.96504615
Indonesia,Asia,2001,62.98073611
India,Asia,2001,46.55486723
Ireland,Europe,2001,86.9759303
Iran,Asia,2001,22.44972384
Iraq,Asia,2001,11.53514416
Iceland,Europe,2001,2.33688626
Israel,Asia,2001,29.03349077
Italy,Europe,2001,223.5932953
Jamaica,North America,2001,1.52373176
Jordan,Asia,2001,1.42508082
Japan,Asia,2001,446.9060198
Kazakhstan,Asia,2001,8.12804767
Kenya,Africa,2001,1.8129936
Kyrgyzstan,Asia,2001,0.40195524
Cambodia,Asia,2001,1.7786968
Kiribati,Oceania,2001,0.03898808
St. Kitts and Nevis,North America,2001,0.06280979
South Korea,Asia,2001,156.0906063
Kuwait,Asia,2001,16.09035561
Laos,Asia,2001,0.33332361
Lebanon,Asia,2001,1.12220818
Liberia,Africa,2001,1.11089785
Libya,Africa,2001,12.43367463
St. Lucia,North America,2001,0.94328083
Sri Lanka,Asia,2001,4.9705513
Lesotho,Africa,2001,0.24146615
Lithuania,Europe,2001,4.18787546
Luxembourg,Europe,2001,7.2936969
Latvia,Europe,2001,2.93729982
Morocco,Africa,2001,8.21915385
Moldova,Europe,2001,0.8437236
Madagascar,Africa,2001,1.09215111
Maldives,Asia,2001,0.19932747
Mexico,North America,2001,158.3406087
Marshall Islands,Oceania,2001,0.15896583
North Macedonia,Europe,2001,1.03966433
Mali,Africa,2001,0.30474657
Malta,Europe,2001,2.34543356
Myanmar,Asia,2001,2.84711723
Mongolia,Asia,2001,0.55430525
Mozambique,Africa,2001,0.98284285
Mauritania,Africa,2001,0.54706317
Mauritius,Africa,2001,1.71574623
Malawi,Africa,2001,0.47442559
Malaysia,Asia,2001,109.2025396
Namibia,Africa,2001,1.04113243
Niger,Africa,2001,0.23625697
Nigeria,Africa,2001,20.22400469
Nicaragua,North America,2001,1.08133156
Netherlands,Europe,2001,182.8071918
Norway,Europe,2001,52.52749142
Nepal,Asia,2001,0.73497278
Nauru,Oceania,2001,0.0187707
New Zealand,Oceania,2001,15.21389448
Oman,Asia,2001,10.04082496
Pakistan,Asia,2001,9.13152445
Panama,North America,2001,3.14810922
Peru,South America,2001,7.27917032
Philippines,Asia,2001,41.760057
Palau,Oceania,2001,0.02936571
Papua New Guinea,Oceania,2001,1.75380588
Poland,Europe,2001,33.38629766
North Korea,Asia,2001,0.9781342
Portugal,Europe,2001,24.0464941
Paraguay,South America,2001,2.37925016
Palestine,Asia,2001,0.06362317
